OBJECTID,POP1990,POP2000,ALLCRASH,FCRASH,MACRASH,MICRASH,POCRASH,PDOCRASH,TPROPDMG,ALLINJS,TFATALITY,TMAJINJ,TMININJ,TPOSSINJ,TUNKINJ,ALCDRUGCR,ALCDRUGFCR,ALCDRUGMCR,ALCDRUGFAT,ALCDRUGMAJ,ALCDRUGINJ,ALCDRUGFI,ALCOCR,ALCOFCR,ALCOMCR,ALCOFAT,ALCOMAJ,ALCOINJ,ALCOFI,MOTOCR,MOTOFCR,MOTOMCR,MOTOFAT,MOTOMAJ,MOTOINJ,MOTOFI,PEDCR,PEDFCR,PEDMCR,PEDFAT,PEDMAJ,PEDINJ,PEDFI,BIKECR,BIKEFCR,BIKEMCR,BIKEFAT,BIKEMAJ,BIKEINJ,BIKEFI,SBUSCR,SBUSFCR,SBUSMCR,SBUSFAT,SBUSMAJ,SBUSINJ,SBUSFI,NBUSCR,NBUSFCR,NBUSMCR,NBUSFAT,NBUSMAJ,NBUSINJ,NBUSFI,TRKCR,TRKFCR,TRKMCR,TRKFAT,TRKMAJ,TRKINJ,TRKFI,HTRKCR,HTRKFCR,HTRKMCR,HTRKFAT,HTRKMAJ,HTRKINJ,HTRKFI,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,YEAR,COUNTY,COUNTYNAME,POP2010
1166,51040,50149,985,7,23,79,167,709,4964183,377,9,28,112,230,7,65,4,3,6,3,70,76,52,2,3,2,3,55,57,19,2,1,2,1,23,25,11,0,3,0,3,10,10,8,0,0,0,0,9,9,3,0,0,0,0,7,7,4,0,0,0,0,5,5,62,2,1,4,2,63,67,42,1,1,3,1,43,46,99,81,56,89,96,79,58,68,72,85,102,100,35,24,30,82,93,108,114,132,139,107,70,51,2012,23,Clinton,0
1248,9070,9422,127,0,6,13,21,87,898558,54,0,8,19,27,0,6,0,1,0,1,6,6,5,0,0,0,0,6,6,3,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,10,10,10,0,1,0,1,9,9,23,14,5,3,6,10,10,5,9,11,17,14,6,3,6,15,12,9,7,13,19,23,7,7,2013,59,Lucas,0
1249,7067,6730,55,1,4,10,8,32,322797,33,1,6,12,15,0,7,0,1,0,1,9,9,4,0,0,0,0,7,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,4,4,4,0,1,0,1,3,3,8,3,5,5,5,2,6,7,1,5,6,2,2,2,3,6,1,4,9,8,8,7,1,4,2013,93,Wayne,0
1250,17444,18187,396,5,7,27,45,312,3097223,119,5,9,42,64,4,17,1,1,1,1,20,21,15,1,1,1,1,18,19,3,0,1,0,2,2,2,2,1,0,1,0,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,54,1,4,1,5,59,60,43,1,1,1,1,48,49,33,31,34,15,28,34,39,30,29,30,39,54,23,16,20,53,36,24,30,33,51,49,44,17,2013,16,Cedar,0
1251,19226,20336,319,2,9,30,35,243,1821925,92,2,10,31,50,1,15,1,2,1,2,13,14,9,1,0,1,0,9,10,5,1,1,1,2,4,5,1,0,0,0,0,1,1,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,1,0,16,17,11,0,0,0,0,11,11,19,23,20,15,25,33,28,24,24,32,42,34,13,8,24,25,32,17,35,29,37,38,36,25,2013,44,Henry,0
1252,14630,15671,366,2,7,36,33,288,2678012,99,2,9,41,45,4,15,0,2,0,2,17,17,12,0,1,0,1,15,15,8,1,0,1,1,8,9,2,0,0,0,0,2,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,50,50,33,0,0,0,0,37,37,36,22,38,21,29,31,26,25,21,20,41,56,12,19,25,49,19,18,35,34,46,45,39,25,2013,48,Iowa,0
998,13202,14547,295,8,18,27,53,189,1914909,159,8,31,43,83,2,16,0,4,0,7,17,17,11,0,2,0,2,11,11,7,0,3,0,3,6,6,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,39,2,2,2,6,44,46,30,2,1,2,5,36,38,26,22,18,13,17,20,30,24,25,26,33,41,12,7,10,31,17,27,25,43,45,35,24,19,2011,65,Mills,0
999,8226,8010,129,1,7,21,18,82,771990,69,1,7,28,33,1,6,1,1,1,1,6,7,6,1,1,1,1,6,7,3,0,1,0,1,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,27,0,1,0,1,33,33,22,0,1,0,1,27,27,8,13,8,10,2,17,9,8,6,12,16,20,7,5,6,12,7,8,12,17,15,15,15,10,2011,36,Fremont,0
1000,82628,87704,2066,14,58,210,377,1407,11799452,908,15,74,309,487,38,97,2,6,2,6,105,107,81,1,5,1,5,89,90,59,2,14,2,16,52,54,21,2,6,2,6,16,18,25,0,2,0,3,23,23,7,0,0,0,0,8,8,7,0,0,0,0,45,45,206,2,2,2,3,222,224,150,1,2,1,2,163,164,230,154,133,143,140,167,172,154,159,200,214,200,119,78,66,187,169,186,258,287,309,164,122,121,2011,78,Pottawattamie,0
1001,14730,15666,311,0,11,35,31,234,1938467,98,0,12,44,38,4,12,0,4,0,5,13,13,10,0,4,0,5,11,11,13,0,5,0,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,34,0,0,0,0,34,34,25,0,0,0,0,25,25,29,21,16,15,19,32,22,25,22,25,50,35,8,8,17,31,24,28,21,25,43,43,36,27,2011,43,Harrison,0
1002,29903,31589,431,2,16,73,66,274,2384323,220,2,17,105,94,4,23,1,0,1,0,27,28,21,1,0,1,0,25,26,2,0,0,0,0,2,2,4,0,3,0,3,1,1,4,0,0,0,0,4,4,1,0,0,0,0,1,1,2,0,0,0,0,2,2,54,1,3,1,3,57,58,44,1,3,1,3,44,45,51,36,39,32,31,28,22,30,32,34,49,47,14,10,6,46,36,49,49,60,60,42,36,23,2011,84,Sioux,0
1003,11952,11763,138,2,3,19,18,96,763042,56,2,3,26,24,3,7,1,1,1,1,10,11,6,1,1,1,1,9,10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,12,6,0,0,0,0,6,6,13,14,12,3,5,13,12,6,12,22,12,14,5,3,3,15,16,6,8,16,25,20,14,7,2011,60,Lyon,0
1004,23388,24849,374,2,14,58,52,248,2319101,189,2,18,89,79,3,16,1,3,1,3,20,21,12,1,2,1,2,17,18,9,1,3,1,3,7,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,43,0,2,0,3,47,47,29,0,1,0,1,33,33,45,30,29,21,27,25,21,30,26,34,37,49,12,7,13,42,40,33,32,39,59,38,36,23,2011,75,Plymouth,0
1082,123798,128012,2134,15,47,169,402,1501,11218448,820,15,56,212,493,59,120,3,6,3,6,126,129,112,3,6,3,6,118,121,41,3,9,3,11,35,38,27,2,4,2,4,26,28,24,0,1,0,1,25,25,15,0,0,0,0,15,15,8,0,1,0,1,7,7,119,0,4,0,5,122,122,68,0,3,0,3,69,69,259,215,151,128,167,143,143,183,162,193,194,196,100,64,50,168,196,191,255,344,346,187,134,99,2011,7,Black Hawk,0
1083,18035,18404,243,2,8,26,24,183,1222629,83,2,9,34,35,5,6,0,0,0,0,6,6,5,0,0,0,0,5,5,4,0,0,0,0,6,6,3,1,0,1,0,4,5,1,0,0,0,0,1,1,2,0,1,0,1,6,6,0,0,0,0,0,0,0,19,1,2,1,2,19,20,11,0,1,0,1,10,10,29,12,9,17,10,18,17,19,22,28,27,35,13,8,12,31,23,11,12,26,27,35,34,11,2011,28,Delaware,0
